mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,pf,tov,pts,plus_minus
35:39,7,12,.583,0,1,.000,0,0,,1,1,2,7,4,0,2,2,14,+7
39:05,5,9,.556,2,3,.667,0,0,,0,2,2,4,1,0,5,3,12,-19
28:27,3,6,.500,1,2,.500,0,0,,0,5,5,9,2,0,4,1,7,-4
21:32,1,5,.200,0,1,.000,3,4,.750,0,1,1,3,0,0,6,0,5,-13
31:15,4,8,.500,1,2,.500,0,2,.000,1,3,4,6,0,0,4,5,9,-5
29:49,2,8,.250,1,2,.500,3,4,.750,0,2,2,5,1,0,1,2,8,+28
21:11,3,7,.429,0,2,.000,0,0,,0,1,1,4,1,0,2,3,6,-13
2:35,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,+3
25:57,6,9,.667,2,2,1.000,0,0,,1,3,4,2,2,1,5,1,14,+2
41:18,6,10,.600,2,6,.333,0,1,.000,0,5,5,7,0,0,2,3,14,-4
35:24,4,10,.400,1,4,.250,4,4,1.000,0,0,0,7,4,0,3,6,13,+5
45:34,3,9,.333,2,3,.667,4,5,.800,0,6,6,8,1,1,6,1,12,+18
34:48,6,12,.500,2,4,.500,4,4,1.000,1,3,4,6,3,0,5,4,18,+16
34:12,5,16,.313,1,4,.250,0,0,,1,6,7,5,1,2,3,6,11,-7
36:01,5,15,.333,1,5,.200,2,2,1.000,1,3,4,8,0,0,0,1,13,-23
19:50,2,5,.400,1,2,.500,2,2,1.000,0,2,2,4,3,0,2,2,7,-7
40:42,4,14,.286,2,6,.333,0,0,,1,3,4,6,2,2,2,1,10,-14
31:51,4,8,.500,1,3,.333,2,2,1.000,1,4,5,2,2,1,3,4,11,-3
46:09,6,12,.500,0,2,.000,1,1,1.000,0,3,3,3,1,0,4,3,13,-8
36:26,9,14,.643,2,4,.500,2,2,1.000,0,4,4,2,4,0,5,5,22,-17
30:12,6,13,.462,1,4,.250,1,2,.500,1,3,4,4,3,0,4,4,14,+7
27:15,3,9,.333,0,3,.000,0,0,,0,3,3,1,1,0,0,0,6,-8
37:50,5,10,.500,3,4,.750,6,6,1.000,0,2,2,4,4,1,4,4,19,-11
36:24,5,13,.385,1,4,.250,3,4,.750,0,4,4,4,4,1,5,4,14,-14
25:03,4,11,.364,0,2,.000,0,0,,1,3,4,3,4,0,5,1,8,-12
46:15,9,17,.529,5,9,.556,4,4,1.000,1,7,8,4,3,0,4,2,27,-10
41:17,6,15,.400,2,6,.333,0,0,,1,6,7,8,0,0,2,4,14,-3
47:01,6,13,.462,3,5,.600,2,2,1.000,0,10,10,7,2,0,5,2,17,-1
26:33,4,10,.400,3,4,.750,2,2,1.000,1,2,3,4,3,0,4,1,13,+6
10:41,0,4,.000,0,1,.000,0,1,.000,0,2,2,0,1,0,3,1,0,-16
23:20,6,10,.600,0,1,.000,3,3,1.000,1,2,3,3,0,0,3,4,15,-7
29:00,4,10,.400,1,2,.500,0,0,,0,1,1,1,1,0,4,3,9,-6
40:18,10,13,.769,6,6,1.000,0,0,,0,5,5,6,3,0,3,2,26,-1
30:11,7,11,.636,0,2,.000,2,2,1.000,0,1,1,4,2,0,6,1,16,+11
34:08,5,10,.500,1,2,.500,1,2,.500,0,3,3,4,1,0,3,2,12,+5
36:07,8,15,.533,1,2,.500,4,5,.800,0,7,7,5,1,1,4,2,21,+1
32:34,3,10,.300,3,5,.600,0,0,,1,3,4,4,0,0,1,4,9,-12
48:00,7,17,.412,1,4,.250,3,3,1.000,0,6,6,4,6,1,6,4,18,-9
43:28,9,18,.500,5,8,.625,3,3,1.000,2,8,10,6,1,1,4,5,26,+21
48:47,6,17,.353,3,8,.375,0,0,,0,3,3,6,1,0,2,3,15,-2
48:00,11,21,.524,3,7,.429,7,8,.875,0,2,2,7,4,0,4,2,32,+32
40:26,10,25,.400,4,9,.444,1,1,1.000,0,5,5,2,0,0,4,1,25,-10
44:42,10,22,.455,3,10,.300,4,5,.800,1,8,9,6,3,0,3,1,27,+9
40:39,7,13,.538,1,3,.333,0,0,,0,5,5,8,3,0,4,5,15,-5
41:00,8,15,.533,2,4,.500,4,4,1.000,0,1,1,9,3,0,3,1,22,0
35:52,4,10,.400,2,2,1.000,4,4,1.000,2,2,4,5,1,0,2,5,14,-18
29:52,6,18,.333,2,5,.400,0,0,,1,1,2,4,1,0,1,0,14,-22
26:54,1,6,.167,0,2,.000,4,4,1.000,0,0,0,3,0,0,2,3,6,-8
27:05,9,15,.600,3,7,.429,2,3,.667,0,1,1,4,2,0,3,3,23,+2
48:00,9,20,.450,1,5,.200,6,6,1.000,0,2,2,9,2,0,4,3,25,-10
45:47,11,22,.500,7,11,.636,7,8,.875,0,10,10,13,3,0,4,6,36,+35
